,id,c_time,entered_competition_cnt,code_share_cnt,talk_board_cnt,country_code,python_level,ds_level
0,15994,2017-05-02 23:58,94,306,477,82,1,1
1,19195,2018-08-08 18:21,1,0,0,82,1,1
2,16339,2018-08-08 19:57,1,0,0,82,1,1
3,7290,2018-08-08 19:59,0,0,0,82,1,1
4,21287,2018-08-08 20:26,0,0,0,82,1,1
5,3828,2018-08-08 20:28,0,0,0,82,1,1
6,404,2018-08-08 21:07,0,0,0,82,1,1
7,1287,2018-08-09 9:53,0,0,0,82,1,1
8,12277,2018-08-10 10:44,0,0,0,82,1,1
9,11718,2018-08-10 11:43,0,0,0,82,1,1
10,3751,2018-08-12 13:44,0,0,0,82,1,1
11,19123,2018-08-13 19:08,0,0,0,82,1,1
12,21390,2018-08-13 19:13,2,0,0,82,1,1
13,11157,2018-08-13 19:21,1,0,0,82,1,1
14,11972,2018-08-13 19:57,0,0,0,82,1,1
15,14646,2018-08-13 21:07,0,0,0,82,1,1
16,21199,2018-08-13 21:19,10,0,0,82,1,1
17,3229,2018-08-13 22:13,0,0,0,82,1,1
18,9331,2018-08-14 12:22,0,0,0,82,1,1
19,16743,2018-08-14 15:01,0,0,0,82,1,1
20,21895,2018-08-14 15:51,0,0,0,82,1,1
21,15657,2018-08-14 16:28,2,0,0,82,1,1
22,3043,2018-08-14 16:34,4,0,0,82,1,1
23,14020,2018-08-14 16:45,1,0,0,82,1,1
24,8989,2018-08-14 17:02,0,0,0,82,1,1
25,6672,2018-08-14 17:45,0,0,0,82,1,1
26,4304,2018-08-14 18:36,2,0,0,82,1,1
27,19642,2018-08-14 18:43,0,0,0,82,1,1
28,10140,2018-08-14 18:47,1,0,0,82,1,1
29,17943,2018-08-14 19:06,1,0,0,82,1,1
30,19016,2018-08-14 19:13,0,0,0,82,1,1
31,4749,2018-08-14 19:13,0,0,0,82,1,1
32,12445,2018-08-14 19:18,0,0,0,82,1,1
33,12101,2018-08-14 19:23,0,0,0,82,1,1
34,11363,2018-08-14 19:25,0,0,0,82,1,1
35,5935,2018-08-14 19:46,0,0,0,82,1,1
36,7927,2018-08-14 19:47,0,0,0,82,1,1
37,8390,2018-08-14 19:57,0,0,0,82,1,1
38,18095,2018-08-14 20:00,0,0,0,82,1,1
39,15595,2018-08-14 20:07,0,0,0,82,1,1
40,7576,2018-08-14 20:23,0,0,0,82,1,1
